Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Antigua and Barbuda;ATG;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15264,62961;15521,8748;15452,78245;15978,30868;16730,51828;15690,93017;16391,71851;16943,8954;17414,44798;17754,54468;18545,92;17433,01783;17388,54379;18237,26684;19077,41053;20076,43902;22340,79211;24088,12208;23727,37991;20571,90697;18702,09038;18117,18604;18526,39075;18243,81449;18779,48071;19345,01754;20267,91747;20777,87403;22085,26249;23035,65798;18275,68968;19124,43016;
Australia;AUS;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31006,10023;30496,12645;30285,85382;31232,58548;32164,65884;33044,8445;33905,26294;34852,75174;36099,02291;37475,97876;38494,88668;38779,6;39872,14753;40642,56228;41905,84966;42704,44247;43286,72354;44109,66937;44777,27372;44684,40149;44965,39336;45405,36537;46360,60712;46744,62388;47240,27446;47567,68066;48109,20272;48400,24579;49052,81795;49379,09333;48747,85171;49774,3407;
Austria;AUT;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37494,56041;38399,67402;38774,49026;38658,64978;39435,21002;40425,39372;41319,375;42136,66228;43597,89007;45060,61875;46469,86106;46878,91624;47419,27841;47633,114;48633,27182;49387,02786;50840,69446;52565,07397;53166,0542;51030,72468;51843,42833;53179,14746;53297,44479;52997,75382;52932,90011;52873,85865;53345,74153;54172,98679;55217,28653;55806,43825;51988,41583;54121,14554;
Azerbaijan;AZE;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7616,910275;7463,62886;5690,180918;4309,921462;3414,511205;2976,995221;2985,337175;3128,164135;3408,475381;3628,716883;3998,520483;4360,459441;4736,564376;5180,686458;5610,763137;7106,597907;9453,94186;11684,19154;12672,37622;13565,85509;14082,23815;13913,83669;14027,46879;14651,69397;14867,94373;14852,61171;14232,19262;14121,40694;14209,59317;14442,04087;13726,76966;14431,66105;
Burundi;BDI;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1175,155086;1209,388158;1190,067435;1153,541309;1103,167298;956,4909761;880,3094121;867,284265;891,6998437;862,0066804;837,3484115;833,6708787;846,7472952;810,5523352;818,7460633;796,1087131;809,6960107;807,4474806;812,5921698;801,8034274;804,3549408;807,6649576;814,3207708;824,6105226;831,2948386;781,5792873;764,3366022;750,7876163;740,4482225;729,6584626;711,3552634;705,0304094;
Belgium;BEL;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35506,92651;36023,68428;36426,99315;35935,95739;36981,44895;37784,14989;38208,71867;39562,37298;40252,46891;41583,09739;43024,13991;43347,88921;43890,59811;44160,91143;45540,46691;46342,18661;47212,57777;48590,40054;48423,51548;47064,79002;47972,55884;48154,87115;48210,92466;48204,5857;48748,62059;49456,39858;49829,92739;50442,27054;51113,48174;51977,18533;48978,93425;51739,53793;
Benin;BEN;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2109,559335;2132,396816;2129,201214;2155,366616;2118,278694;2200,593784;2237,526324;2297,994303;2317,481295;2367,761224;2431,445652;2485,116531;2523,609973;2532,998428;2566,345657;2528,676481;2549,194419;2625,212755;2673,769349;2656,431642;2634,134728;2633,93906;2681,351661;2792,0273;2883,899098;2849,820499;2859,391685;2933,837384;3040,16752;3156,438957;3186,478031;3321,552174;
Burkina Faso;BFA;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;981,8447619;1044,17392;1021,144516;1030,559204;1018,122209;1049,083717;1135,25666;1176,383903;1228,122869;1280,92272;1266,744817;1310,072212;1325,70343;1385,455048;1402,784372;1477,039822;1521,154454;1536,385814;1578,345826;1578,148939;1661,872021;1720,082522;1776,390997;1823,594952;1846,645127;1862,854712;1916,756382;1978,155012;2051,218431;2110,062311;2093,733647;2179,789039;
Bangladesh;BGD;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1730,368945;1756,332624;1818,150765;1867,780938;1903,580832;1964,061126;2017,213527;2070,437446;2137,150043;2194,526476;2267,075348;2337,364583;2382,281471;2451,990232;2537,950714;2663,096257;2806,592691;2973,281325;3124,226797;3253,091337;3395,364787;3571,058647;3756,931933;3932,70833;4119,424639;4337,385902;4589,093532;4830,776083;5124,498755;5467,207948;5591,373989;5911,012996;
Bulgaria;BGR;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12507,72841;11565,38754;10840,09157;10765,16339;10998,16016;11363,34274;12016,66349;10383,48794;10849,08605;9994,061702;10504,26405;11125,18783;12036,92109;12768,0513;13702,34125;14780,09913;15905,87703;17089,51093;18264,77844;17767,5353;18160,62977;18661,50208;18911,60672;18911,14842;19202,83169;19988,24818;20740,81943;21469,97089;22206,15699;23266,06932;22479,58294;24393,77553;
